epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,176.924,0.77231,2.28777,1.17119,0.89809,0.16088,0.54876,0.42674,0.63904,2.74694,1.09383,0.00041441,0.00041441,0.00041441
2,350.432,0.78455,1.49885,1.18404,0.73511,0.72879,0.79383,0.59289,0.73777,1.82374,1.19414,0.000801376,0.000801376,0.000801376
3,527.084,0.79952,1.41393,1.18302,0.65318,0.622,0.70554,0.51704,0.79777,1.86513,1.24536,0.0011459,0.0011459,0.0011459
4,712.825,0.80622,1.27265,1.19424,0.66445,0.51572,0.57348,0.39321,1.02661,2.1348,1.39834,0.00121679,0.00121679,0.00121679
5,885.624,0.83371,1.23633,1.19145,0.78474,0.65678,0.74793,0.56294,0.7949,1.57755,1.23497,0.00114606,0.00114606,0.00114606
6,1048.98,0.81335,1.15597,1.17707,0.78755,0.78252,0.87024,0.67017,0.73273,1.27369,1.22782,0.00107532,0.00107532,0.00107532
7,1213.11,0.74948,1.05403,1.14779,0.75897,0.73945,0.83963,0.65836,0.74213,1.31646,1.16263,0.00100459,0.00100459,0.00100459
8,1376.47,0.78417,1.02109,1.16724,0.87209,0.87455,0.93782,0.73256,0.75157,1.0089,1.15019,0.000933851,0.000933851,0.000933851
9,1540.2,0.72384,0.91822,1.10929,0.87415,0.87991,0.94359,0.77712,0.61906,0.93194,1.04576,0.000863116,0.000863116,0.000863116
10,1702.86,0.67953,0.86734,1.10306,0.90478,0.88024,0.95121,0.80668,0.57961,0.89326,1.01917,0.00079238,0.00079238,0.00079238
11,1865.55,0.63286,1.13767,1.10105,0.89322,0.88011,0.95592,0.80589,0.59406,0.86607,1.04105,0.000721645,0.000721645,0.000721645
12,2026.46,0.61017,0.9452,1.09302,0.93367,0.9307,0.97027,0.82826,0.55592,0.72849,1.00776,0.000650909,0.000650909,0.000650909
13,2189.63,0.54705,0.83968,1.03276,0.93154,0.88939,0.97438,0.81329,0.61087,0.77636,1.05417,0.000580174,0.000580174,0.000580174
14,2357.91,0.56375,0.8162,1.03555,0.94561,0.96567,0.98412,0.86612,0.50924,0.62103,0.96191,0.000509438,0.000509438,0.000509438
15,2528.24,0.54336,0.73627,1.00975,0.95847,0.96257,0.98983,0.87348,0.5047,0.58806,0.95497,0.000438703,0.000438703,0.000438703
16,2707.28,0.5057,0.69648,0.97601,0.95922,0.97561,0.98984,0.88126,0.46503,0.57407,0.93214,0.000367967,0.000367967,0.000367967
17,2872.68,0.48827,0.66316,0.9836,0.96741,0.97664,0.99316,0.89345,0.46481,0.52689,0.92698,0.000297232,0.000297232,0.000297232
18,3039.53,0.46181,0.60915,0.94792,0.97779,0.99245,0.99339,0.90869,0.41295,0.48438,0.89791,0.000226497,0.000226497,0.000226497
19,3215.08,0.43864,0.603,0.9571,0.98486,0.9925,0.99437,0.9103,0.41031,0.45713,0.89337,0.000155761,0.000155761,0.000155761
20,3388.65,0.42131,0.5546,0.93659,0.9919,0.98337,0.9939,0.91323,0.3872,0.44458,0.88037,8.50255e-05,8.50255e-05,8.50255e-05
